speaker,q&a,content
Lewis Gradon,1,"Yes. So we really don't want to dig much deeper into that category than we have, Chelsea. But Nivairo -- non-invasive ventilation was fairly flat in the first half. It's made a small positive contribution in the second half. And so you can assume that the remainder is Optiflow."
Chelsea Leadbetter,1,"And I guess just a quick point of clarification with respect to the ligation cost. When you're suggesting and carrying cost at a similar run rate for FY '19, should I be assuming that that's compared to the $18.6 million of cost, i.e., without the $3 million benefit that you got in FY '17, is it fair to think so?"
Lewis Gradon,1,"Yes, we were thinking the net costs, but closer to the 15.6."
Chelsea Leadbetter,1,And I guess just last question before I hand over to someone else. Just a little bit of clarity on how you're thinking about the manufacturing facilities when they open and how we think about the initial cost drag I guess in Mexico in particular given that's going to be fairly soon in this year and maybe into FY20?
Tony Barclay,1,"Chelsea, Tony here. Look, the Mexico facility is due to be opened relatively late in the financial year, so there really isn't much impact at all in the guidance today. So I think it's more a rounding than anything else at this point and it will be an FY20 question."
Chelsea Leadbetter,1,And do you have any sort of I guess initial indications on what FY20 -- what quantum of drag that could be -- we could be thinking about?
Tony Barclay,1,I think we probably prefer to line that up with guidance as we kind of get closer to that.
Marcus Driller,1,"Thanks, Chelsea. Next question comes from Elyse Shapiro at Wilsons."
Elyse Shapiro,1,"I was just wondering what sort of pricing power do you have for new applications, in particular Optiflow and AIRVOs, and was growth in that segment driven by price or volume or a combination of the two?"
Lewis Gradon,1,"Well, first of all, driven by volume rather than price. In terms of pricing power -- I mean, we do have a unique product offering. So relative to other products, it tends to be on the right side of our average gross margin."
Elyse Shapiro,1,And do you see price increases for Optiflows and AIRVOs going forward at all?
Lewis Gradon,1,"No, probably not. We think we're at about the right place now."
Marcus Driller,1,"Next question comes from Tristan Joll at First New Zealand Capital. Go ahead, Tristan."
Tristan Joll,1,"Just following on from the Mexico questions I guess. Just in terms of working capital, would we expect to see a bit of an inventory build towards the backend of this year? That's the first one. And then the second one, just in terms of gross margins for this year, I think we expected only a 47 basis points of expansion in the first half and we ended up a touch lower than that for the full year. But I think we probably though back and [Indiscernible] that would improve. Can you kind of characterize what has been going on in the cost base or in the mix that sort of stopped that building up to what you might have expected?"
Lewis Gradon,1,"Sure, Tristan. With regard to the first question on inventory build, there will be new and additional lines going into our second plant, so we wouldn't expect any inventory build related to that. And so far as gross margin for FY18 goes, there's a lot of moving parts there. There's no real single material effect to call out. In the past, we've got gross margin improvements from product mix from Mexico and the supply chain. If you look at product mix, I mean, things like lower OSA mask growth, CPAPs swinging the other way to 10% growth in the second half, reduced the magnitude of that mix shift contribution.
Our OSA masks also they are mostly in Mexico, so a smaller positive contribution this year from Mexico than we've normally experienced. We had a strong flu season in the second half in the Hospital part of the business, so that did mean there was a small amount of effect for some of the Hospital products. So supply chain contributed a bit to this as well. We had an inventory improvement, which was a bit of an impact as well. But I think the summary, Tristan, is nothing big, nothing material, pretty small effects across the board."
Tristan Joll,1,"And then just one other question I guess, which is just on the masks maybe too, [indiscernible] seeing growth in the second half. And I heard your comments around the contribution of new products being muted this year. Would you care to sort of give us some sense of what effect [indiscernible] is there a negative [indiscernible] might be a possibility. What will be headlines on that?"
Lewis Gradon,1,"Well, what we're guiding to is a pretty similar number to our second half of FY '18."
Tristan Joll,1,"So [technical difficulty] as you go through the year. So you think probably that there I guess performance or market share or [indiscernible] from market share you're probably kind of static now, you're not losing share from here?"
Paul Shearer,1,"Tristan, Paul here. I think the answer to that is there were some new product offerings in FY '18, mainly in the second half. A lot of the homecare providers are sampling those. So that had an effect on our second half performance. I think that's starting to come more clear for us. Dealers of samples are continuing with their products and rebounding back to our products. So when we give news we think we're going to hit a very similar run rate into FY '19 and halfway."
Tristan Joll,1,"Okay, that's great. Thanks for taking my questions. Cheers."
Marcus Driller,1,"Next question comes from Andrew Goodsall at MST Marquee. Go ahead, Andrew."
Andrew Goodsall,1,I was just going to quickly I guess carry on from Tristan's question on masks. Just if you could give me a sense of I guess what's important in that market place. We've got other -- so of your competitors saying that connectivity is a pretty big piece of that market now and that might be helping their mask effort. Just wondering how you're sort of thinking about that piece?
Lewis Gradon,1,"Yes, we don't think so. We think the mask independent of the CPAP, it's independent of connectivity and it's independent of that data. And I guess we've seen that play out over the last five years or so when we've had very strong market share gains in the face of that phenomenon. You kind of see a little element of that now in second half where CPAPs grew more than mask as well. So we don't think there's such a connection."
Andrew Goodsall,1,"And what about -- over to the flow generators in that Homecare space, do you think that has more relevance for flow generators?"
Lewis Gradon,1,"Connectivity, yes, we think that's pretty important for flow generators. I mean, there's a couple of things there and we think it's important for our machines to connect to any healthcare system anywhere in the world with any dealer or any institution. So it's one of our primary goals with what we do."
Andrew Goodsall,1,"And just on the R&D outlook, I think you were up about 10% this year. Just in terms of how you see that -- the pace of that for next year, would it be similar sort of levels to this year?"
Lewis Gradon,1,"Well, we have grown R&D in constant currency terms above revenue growth for the last few years. We've given an indication that we sort of expect that to revert to the mean over the next few years. And if you have a look at the first half, second half numbers for R&D growth, you'll see that coming off a little bit in the second half. So going forward for the next year or so, we are expecting R&D growth to be a little lower than revenue growth."
Marcus Driller,1,"Next question comes from the line of Stephen Ridgewell at Craigs Investment Partners. Please go ahead, Stephen."
Stephen Ridgewell,1,"Just if I might ask a couple of questions on the new apps and the 27% growth in the second half. I mean, would a reasonable read from that be that the pick up from the first half we saw was -- there's a little bit of flu season in the year, also Optiflow 2 Junior and perhaps a bit of the 950, the incremental growth cycle and the nice use. Will you make any broad brush comments on it?"
Lewis Gradon,1,"Yes, so the 950 won't be new apps. New app growth for the second half was 25% in constant currency. And otherwise it's all the things you mentioned. It is flu season kicking in. It is Optiflow Junior kicking in. It is 950 where it's released probably has helped -- that's primarily Australia."
Stephen Ridgewell,1,"And so just more broadly, is it fair to read there has been a bit of a pick up or do you feel it has been an underlying pick up in Optiflow demand in the adult market?"
Lewis Gradon,1,"Other than the seasonality of the flu effect, no, we think it's pretty consistent."
Stephen Ridgewell,1,And are you able to talk to any signs of traction for myAIRVO?
Lewis Gradon,1,"Well, sure. As I've said, it's a small part of the Homecare business that's growing strongly. Yes, we do think the two studies that I called out are going to be very helpful and very instrumental over the next few years, the Storgaard study, 200 patients in the home over 12 months. I mean, that's really our second set of randomized controlled hardcore outcomes data in that area, so we're very pleased that that's being published. And the results are probably even little better than we're expecting. The significantly reduced exacerbation rates and modeling lower hospital readmissions is kind of everything we were hoping for."
Stephen Ridgewell,1,"And just in terms of the comment on OSA and new masks planned for this year, was that a reference to this calendar year or to the FY'19 fiscal year?"
Lewis Gradon,1,I think I can safely say calendar year.
Stephen Ridgewell,1,"And given this is Tony's last call, I couldn't sign off without asking a few questions. And before I do, just wanted to take the opportunity to thank you, Tony, for your efforts and engagement with the investment community over the years and wish you all the best for future. And I guess the point..."
Tony Barclay,1,Terrific.
Stephen Ridgewell,1,"I guess the points of clarification were the guidance for -- 210 impact refers to approximately current exchange rates. Just wondered if you could clarify exactly what that means in terms of the US dollar and euro, so you took 69 or is it higher than that?"
Tony Barclay,1,"We were talking 69 and 69.5 -- sorry, 59.50 and 59 for the euro."
Stephen Ridgewell,1,And also...
Tony Barclay,1,"While we're about the same one side or the other -- this or the other side or another this morning, so here or there about."
Stephen Ridgewell,1,"Yes, pretty close. And I guess also I'm just interested is, typically at this point of the year you would give a range and this year you have gone for a point estimate. I am just curious as to why the change in approach. Do you feel you've got that much more certainty on the outlook compared to prior years?"
Lewis Gradon,1,"No, you're probably ascribing --"
Tony Barclay,1,Too much weight.
Lewis Gradon,1,"-- yes, too much weight into that, Stephen. No. The key word is approximately, right?"
Stephen Ridgewell,1,"And then if we look -- so within that guidance, could you please clarify what hedging profits are included within that?"
Tony Barclay,1,"Sure. There's NZD 6 million approximately of hedging profits. And the other comment I made was that year-on-year the overall impact of currency would be, with these guidance exchange rate, a tailwind of $2 million before tax."
Stephen Ridgewell,1,"All right, that's all from me. Thank you."
Lewis Gradon,1,Thanks.
Marcus Driller,1,Next question comes from Marcus Curley at UBS.
Marcus Curley,1,"Just a couple from me. And excuse this one if you already mentioned at the beginning, but did you call out what you thought the impact of the flu season was in the second half?"
Lewis Gradon,1,"Yes, we did. We think between 1% and 2% -- well, it's an estimate, Marcus, and it's our best estimate. I think between 1% and 2%, but that's for the full year, to Hospital."
Marcus Curley,1,"And so then when you look at your guidance for the Hospital business being on the constant currency level pretty similar to last year -- obviously, you're swallowing up the flu season benefit. Could you talk to a little bit about what you think accelerates to offset that impact in FY'19?"
Lewis Gradon,1,"Yes, I can. It's a little bit complex, but in our guidance we modeled a moderate flu season versus what we've just had, which is a strong flu season. But it's not just the magnitude, we also took account of the timing of the flu season. So FY'17 was a little bit later and sharper decline than other years. Maybe to summarize it: so we think in the guidance as a moderate after an FY'18 strong, but with timing of the relative flu seasons, we think it comes out at about same rate."
Marcus Curley,1,Does that mean you give it back in '20?
Lewis Gradon,1,"No, it's kind of the other way around. It's a historical event. Look, the phenomenon is this: flu seasons have a peak and then they have a decline. During that decline phase, our customers will generally -- naturally be overstocked as the stocking lags the decline. And if that decline falls into our first half, it can have a negative impact on first half. And that's what we experienced in FY'18 because of the FY'17 timing. So we think '17 was later than most seasons."
Marcus Curley,1,"Secondly again, you probably mentioned this, but were you calling out two new OSA masks in the calendar '19?"
Lewis Gradon,1,"Well, I fairly carefully said product, new product."
Marcus Curley,1,"I'll put that down as one. And then finally, just on Mexico, can you talk a little bit about where you think the percentage of manufacturing goes to the '19 and over the medium-term once the new factory is up and running?"
Lewis Gradon,1,"Look, I just want to refresh our strategy there. The strategy is we put our first line in process in New Zealand, then the growth goes in Mexico. And we do it that way because we think it's the most efficient use of our R&D and manufacturing resources. So what goes in Mexico, when, is kind of an output of that strategy. We don't drive the business by putting stuff in Mexico. So if you look at FY17, '18, we've had quite a few new product introductions, first line, first processes in New Zealand. OSA masks are largely in Mexico and we've guided to lower growth there.
So when we look at all that, we see Mexico -- Mexico FY17 was about 34% of output, FY18 was 34%. We think FY19 as a proportion of output it doesn't really grow that much either. Then looking into FY2020, we probably do see a pickup in Mexican output as a proportion of our growth as we get some of the faster growing products there kind of with that natural evolution."
Marcus Curley,1,And long-term where do you see that settling?
Lewis Gradon,1,"Well, it steadily climbs with that algorithm that I described, the first line, first process in New Zealand. I mean, most -- and that's a lot of products, that's maybe 20% of what we make, yes, in New Zealand. So I was staring at Andrew. Yes, so long-term you might be heading to, if we stick to that algorithm, towards 80% or something like that. Yes. And it's just like offshore rather than just Mexico."
Marcus Curley,1,"Okay, great. Thank you."
Marcus Driller,1,"Thanks, Marcus. Next question comes from Steve Wheen at Evans and Partners."
Steve Wheen,1,"I just had a question. I wondered if you could provide some color around Optiflow, in particular just around its usage outside of the ICU and what that experience was like in the half?"
Lewis Gradon,1,"That's been something we've been working on for quite a few years, is spreading Optiflow outside of intensive care. And we're feeling pretty pleased with that over the last 12 months. We think globally maybe up to 20% of our Optiflow patients are being treated outside intensive care and that's a proportion that continues to grow. So we are very encouraged by that."
Steve Wheen,1,And that's across both adults and children?
Lewis Gradon,1,"It would be similar across both, yes."
Steve Wheen,1,"Secondly, is there any sort of geographic color you can provide just across your Hospital business as to certain geographies that may be doing better than others?"
Lewis Gradon,1,"Well, if we put aside New Zealand and Australia well ahead of the curve, we see pretty similar, very similar penetration rates per capita between North America and Europe. Rest of the world lagging per capita, but there's other reasons for that. But in the two major geographies, we'd say very similar penetration rates."
Steve Wheen,1,"And just lastly from me just on SG&A and this I guess is consistent with your peers. There is that leverage that was obvious in the second half of the year, earnings leverage. Can you talk to any particular items within the SG&A bucket that's providing that? And I just noticed that going into FY '19, you're expecting that SG&A growth will come back into line with revenue unlike what happened in second half?"
Lewis Gradon,1,"Yes. Well, actually your explanation for the second half is largely in the litigation and costs being significantly lower in FY '18 and FY '17 in the second half. If you take litigation out of it completely, SG&A is in constant currency terms running along at a similar rate to revenue growth for FY '18."
Marcus Driller,1,Next question comes from Brian [indiscernible] at New Zealand Super Fund.
Unidentified Analyst,1,"A few questions please. Just basically on the OpEx guidance for growth to be in line with underlying revenue growth for FY '19, can you just clarify if that's including or excluding legal? I assume it's including. Second question is on Slide 32 of the presentation, you have an ambition for operating margins of 30%, but you're not quite there. I'm just wondering if you can sort of outline how you hope you'll be able to close that gap. And I guess lastly, Optiflow has grown very strongly and making a great contribution on what you described as extraordinary interest. Just wondering if you have any sense or can provide any color of the proportion of sales that are being generated by customers who are I guess trying the product out versus customers who have changed the standard of care in their hospitals and are kind of recurring customers. That might be a bit tricky, but worth asking."
Tony Barclay,1,"Okay, Brian, I'll start with the first one. You might need to remind me about the other two. So I think the first question is that our guidance, we have built in our expected litigation costs, is I recall the first question. Second question was operating expenses you might have to remind me target 30% -- yes, so we're targeting 30%. If we look at our operating margin without the litigation costs, we're running around 29%. So that would be getting close. With litigation, I think it's 27%, 28%, something like that. So we think we've got a bit of room to go. And we're thinking of the primary contributor to that being more and more efficient sales force, so selling more and more per person. And we think that will be driven by better and better clinical evidence in Optiflow as it gets closer to mainstream practice, being a more efficient selling process."
Lewis Gradon,1,So in the meantime carry on.
Paul Shearer,1,"Yes. Yes, I just think it's just -- yes, I think you get efficiencies just as -- we've seen a lot of -- we're developing this kind of marketplace, Brian, and the literature supports what we're doing. As you get adoption of a therapy, it just starts to spread in the zone and you start getting a wider customer base with the same number of distribution and sales force."
Tony Barclay,1,"That's certainly what we've seen over the last five or six years anyway. And there was a third question, proportion of customers trialing versus regular users or proportion of new users. I don't know if I can give that color."
Paul Shearer,1,"Well, I think that -- I'm not sure this answer your question, but I think if you look around North America and Europe, we've got many, many users that have been utilizing Optiflow, AIRVO for certain patient types, groups in different parts of the hospital, that is starting to expand their usage -- so starting to use that in some cases of standard care and in other cases just using more of it, and other situations, they are using other parts of the hospital in more markets outside North America and Europe, which is getting a lot of -- a lot of hospitals, commissions are starting to use the product, get some experience with it. So it's a combination of those factors."
Tony Barclay,1,"One of the difficulties with answering your question, Brian, is if you go country by country in terms of ICU penetration, how many ICU's are using it, it probably varies somewhere between 50% and 100%. So it's very dependent on the -- the answer to your question is very dependent on the region."
Operator,1,[Operator Instructions]
Marcus Driller,1,Next question comes from Marcus Curley at UBS.
Marcus Curley,1,"Just one follow-up. Can you just talk a little bit about the SleepStyle in terms of where it's at, in terms of its rollout and your expectations for that over the coming year?"
Lewis Gradon,1,"So the expectation -- the guidance we gave over the coming year was similar growth to second half of FY '18. In terms of rollout, in our FY '18 numbers you got New Zealand, Australia, Canada. As we sit here today, it's released in I think 22 countries of the world, something like that. And then of course for the major market, the U.S., there is a regulatory cycle that we're still going through."
Marcus Curley,1,And so into the U.S. this financial year?
Lewis Gradon,1,"I would expect this financial year, yes."
Marcus Curley,1,I suppose what's the broader feedback and sort of expectations for the product?
Paul Shearer,1,"The feedback is very, very good. I mean, it's a brand new CPAP. It's got great features. It's got a great user interface, so it's very easy to use. It's got some very good informatics surrounding it. Again, they are getting -- people are feeling very good about the informatics side of the business. So it's a very good product. The feedback has been very good."
Marcus Curley,1,And so do you think it becomes a bigger feature of the sales force effort in the next 12 months or is there still a preference to be focusing on masks over the SleepStyle?
