speaker,q&a,content
Brandon Couillard,1,"Okay, one more, Patrick, with respect to the new, large, national employer you signed in the third quarter, would you just sort of give us some perspective on the nature of your dialogue with some of these larger, self-insured employers? And any chance you could update us on the total number of covered lives that you have reimbursement contracts in place for?"
Patrick Soon-Shiong,1,"Yes. Sorry, I think I called you Charles, when you're Brandon. Who's on the line now? I'm not sure who is -- Brandon?"
Brandon Couillard,1,"Yes, it's Brandon. That's all right."
Patrick Soon-Shiong,1,So let me ask Ron or Bobby to respond to that question.
Sandeep Reddy,1,"So Brandon, this is Bobby. We don't actually think about it in terms of covered lives. We kind of have discussed this in the past that we're aiming for everyone, ultimately, to be a covered life. That's why we've submitted for regulatory approval to the FDA. As Patrick mentioned, we are in a process there, looking at a predicate device from Memorial, that's a smaller panel and if that's what we need, that's what we need. And so we are moving down a pathway where everyone ultimately is a covered life."
Brandon Couillard,1,"Okay. I guess, last one for Bob. In terms of the GPS revenues, could you give us some specifics about how many of those are tied to Nant-related trials? And just to be sure, were those trial-related orders included in the total GPS order figure?"
Bob Petrou,1,"From a revenue perspective, there was included about $250,000 of the total was incorporated into that figure that we reported on. From the overall test perspective, there was -- they -- they're not included in the overall test that we are reporting on."
Operator,1,Our next question comes from line of Charles Rhyee from Cowen.
Charles Rhyee,1,"Patrick, so maybe I can just ask you. If we are submitting a more of a 400-gene panel test instead of what you would prefer to submit, can you talk about sort of how the revenue model changes here? Because if I'm not mistaken, you have certain contracts with employers for GPS Cancer itself. Does that change what you're delivering to your existing clients? And then of the tests performed in the quarter, were any of those the lower number test?"
Sandeep Reddy,1,"So Charles, this is Bobby Reddy. I think that with those existing contracts, we have the capability, obviously, to honor them and can continue to perform the GPS service as defined under those contracts. What we're talking about is what's submitted and is under current discussion with the FDA, waiting for clearance for that device. So that will be a..."
Charles Rhyee,1,"For GPS cancer -- so we're still waiting for coverage decision on GPS cancer, is that correct?"
Patrick Soon-Shiong,1,"Yes. And what you define as GPS Cancer now will be this 461 panel, which is basically the way we're doing it, which is -- we're using tumor-normal instead of measuring 20,000 genes, we would be submitting a report on 461 genes."
Charles Rhyee,1,And that's what's going in front of CMS right now?
Patrick Soon-Shiong,1,"Yes. Believe it or not, that's what they want."
Charles Rhyee,1,"Okay, I see. Sort of what you're saying, in your discussions with them, they came back and said, we don't want to see 20,000, we just want to see 461?"
Patrick Soon-Shiong,1,Basically.
Sandeep Reddy,1,"Yes. Our discussions were with the FDA and there's a predicate device. And so we have to model what we submit to follow the previous device and so that's what we have done. We still have the underlying capability to do everything. And I think that's important. As Patrick mentioned, ultimately, that's where we think the true answers are going to come from. So we want to retain that ability, but we also want to remain competitive in this difficult reimbursement environment."
Charles Rhyee,1,"Okay. Can we talk about the charge in NantOmics. Can you give us a little bit more details, what's happening there? Because I know that NantOmics serves the biopharma industry separately. So that's not sort of pacing for Nant holders. Can you talk about what's going on in that side of business that is -- what's leading to this -- kind of this writeoff here?"
Patrick Soon-Shiong,1,"Well, I think, obviously, NantOmics was dependent upon the revenue stream and reimbursements through NantHealth, right? And the revenue stream is dependent on the FDA reimbursing and Medicare reimbursing, so it's a sort of vicious little circle here. So having said that, NantOmics has it's own separate path as it relates to drug development and it's developing things like the new epitope antigen, et cetera, which is just revenue depleting, it's not revenue generating, it's a R&D development house. So I suppose from the auditor's perspective, they had to -- just have to look at it from a black-and-white. And that's what's the analysis, and we needed to go ahead with whatever they felt was the current state of -- phase of GPS Cancer. But NantOmics has more than GPS Cancer. As a diagnostic it has -- that's a drug."
Unidentified Company Representative,1,"Sorry, just to expand on that. We have a small stake in that part of the business and therefore, again, we have to value that asset. And our valuation took us down the path of reducing the value of that asset on our balance sheet."
Charles Rhyee,1,Okay. So -- but nothing else going on separate from just the way the valuation related to NantHealth -- expect -- expectation of NantHealth into NantOmics is impacting it.
Unidentified Company Representative,1,That's correct. Correct.
Charles Rhyee,1,"Okay. All right. Okay, great. So then just coming back then to the FDA because you've now modeled your submission on the predicate device. Can you give us a sense on timing then? I would assume that, that would kind of speed up the timing."
Patrick Soon-Shiong,1,"Yes. I think -- and Bobby can speak more to this. I think it's hard for us to predict from the timing of the FDA. But we clearly think mid-2019, we would probably have a firm answer one way or the other."
Operator,1,This does conclude the question-and-answer session of today's program. I'd like to hand the program back to Robert Jaffe for any further remarks.
Robert Jaffe,1,"Thanks, operator, and thank you all for joining us today. We look forward to sharing our progress on our next scheduled conference call. Thanks, again."
Operator,1,"Thank you, ladies and gentlemen, for your participation in today's conference. This does conclude the program. You may now disconnect. "
