speaker,q&a,content
Barry Weiner,1,"We have made tremendous progress over the last three months. And actually the programs are moving along at a very nice pace. We continue to generate new content for our product offerings. Recently we just submitted testing now as an example for a new swab test for chlamydia, gonorrhea targeting anal and oral samples. We continue to provide extensive content and we are now in the stage of validating our high throughput machine. Hopefully, that will take on a big role in allowing us to deliver the capacity we hope to be able to provide to the industry. 
And this is not only -- again, I should also comment, it's not only for the clinical lab rollout, it's also for the product side. These products and platforms will be offered as products to other labs and other consumers. So it really will extend our capabilities not only to allow our clinical lab model to morph and change to a centralized lab-to-lab structure, but it will also enhance our life science's component by providing these products and technologies to the industry as a whole. 
And I should go back and also refer that all of these products are the subject of what we believe will be relationships with the industry in areas of support for marketing, for product manufacturing, for product sales. All the three initiatives that we've announced today, all interrelate. The developmental program will drive the centralized lab concept. It will drive the strategic relationships and we recognize the need for strategic partners to be able to enhance the rapidity of introduction of these products, and that is why we're so focused in that area right now."
Per Ostlund,1,"So two more from me, and then I will let somebody else ask a question. So you talked about a number of operational initiatives on the lab operating profit side. How important is lab gross margin to getting there and what are your levers to get there on that? Because I'm assuming, I think if we stipulate that the current reimbursement environment is going to persist. I suspect you're going to need a combination of volume and probably utilizing internally developed tests and a few other things to kind of restore that as a function of restoring operating profit in the lab. Just curious your thoughts in general there?"
Barry Weiner,1,"Yes. I think you actually answered the question somewhat yourself. It's an issue of generating higher value and higher volume testing. It's about product mix. It's about extending into the areas where we have higher marginal return, as I mentioned before. Many of the areas deal with the oncology area which we're making a major move into right now. Volume is important and that is why strategically we are extending our reach geographically into New England. We have been enhancing our sales force.
And again volume is key, but value also underpins generating that marginal return that is necessary. And it's also a function of centralizing the laboratory operations. By doing such, we are gaining the efficiencies to improve that margin significantly. So we're hitting it on all cylinders. I think we clearly recognize the challenges. We clearly recognize what needs to be done. And we are hitting it from all different areas. It's not a single one process solution. I think to turn this lab into an efficient machine requires a lot of steps that are being taken right now that I believe will become visible over the next quarter or two quarters, you will see it starts to settle in. And I think all these approaches will provide a unique entity in the market that will be a new model for clinical labs to be able to look at, such that we can provide not only lower cost services but also more efficient and equally important utilization of capacities within our laboratory."
Per Ostlund,1,"Very good. Last one from me. Coming back to therapeutics, you mentioned the patent, the 960 patent. Curious what the implications of that are and if you could give us sort of an updated timeline on the SK1 xenograft studies and what are the events we should be looking for there?"
Barry Weiner,1,"The therapeutic activities are very interesting one. As I commented that patent covers a compound called Ozanimod. It is a compound that is being used in different medical indications right now. We have received a patent on the utility of that in the treatment of hepatocellular carcinoma, which is one of the broadest of liver cancers.
We also have our own sphingosine kinase inhibitor SK1 compound that targets an additional pathway within that model. We do have patents on that as well. At this point in time, we have performed toxicity studies on both those -- on our SK1 compound, the Ozanimod has been cleared already. We are looking at xenograft testing right now on human liver cells that are implanted into mice.
When those results come back, and we hope to have those results in the fairly near term, hopefully within the next few months, we will then be able to make a determination to pursue this particular product in the areas that we've discussed. It's a broad market. It's actually very exciting in terms of an alternative approach for treating a very challenging disease that has no strong or adequate treatment right now.
And we're quite excited about it. We can't make any determination until the xenograft studies come forward and we hope to do that. Once we see it, we then will speak to the market and let them know what our actions will be going forward."
Operator,1,[Operator Instructions] 
Barry Weiner,1,If there any other questions we would be pleased to take them.
Operator,1,[Operator Instructions]
A - Barry Weiner,1,"I think that the indication I'm getting there are no further questions. I want to thank you for joining us on the call this morning. We look forward to speaking to you to report our year end results. We believe the next few months will be very exciting. We've detailed for you a very detailed program that is being executed on at this point in time and we believe at the next call, we will start to bring you up to date on the results. Thank you very much."
Operator,1,"Thank you. A replay of this broadcast will be available until Tuesday, June 25 at 12:00 midnight. You may access this replay by dialing 1855-859-2056 the PIN number is 1870919. This replay is also available over the Internet at www.enzo.com. This concludes today's teleconference. You may now disconnect your lines at this time. And have a wonderful day."
