speaker,q&a,content
Sarah Simon,1,"Just back on Asia Internet, can you give us any idea of how much cash the whole of Asia Internet has invested so far?"
Oliver Samwer,1,"No. I think, given that we have a partner here and we have very strict confidentiality with Ooredoo, I think the company, at this time, might make announcement. But in joint ventures, we cannot just make announcements ourselves."
Peter Kimpel,1,"And Sarah, to give that €34 million is already a bit of a stretch because we agreed complete confidentiality with Alibaba on the valuation and proceeds. So we sort of tried to make a compromise in giving some sort of transparency around what we've made, so that at least people can then make the, ultimately, the cash purchase well. But on the Daraz transaction, the company and Alibaba agreed complete confidentiality on the valuation of that deal. So you have to bear with us, unfortunately, on that one as well."
Sarah Simon,1,I'll ask one last one on Daraz then. Is that 34 million being -- is it coming back to Rocket Holdco or is staying within Asia Internet? I just wonder if it's in the cash number you gave for the -- of the 2.6 billion?
Oliver Samwer,1,"It’s not -- that’s not yet in -- it’s not yet in the cash number, no. That’s not yet in the -- no."
Sarah Simon,1,"It's not on the cash number, but will it come back? I mean, I know it's only small, but when does it stay within the holding company?"
Oliver Samwer,1,"No, it will come back."
Operator,1,Thank you. The next question is from Nizla Naizer of Deutsche Bank. Please go ahead. Your line is now open.
Nizla Naizer,1,"I just have a few on my end. The first question is on Westwing. Given their current profitability stage and the cash position that the company has reported at the end of Q1, do you think that it could sustain its growth momentum without needing to raise more funding? Or would this be something we will see over the course of 2018? And my second question is related to Daraz, but not specifically. After the sale of Daraz, could you perhaps tell us what are the remaining large companies in the regional Internet groups and which Internet group they belong to? And my final question, you mentioned Traveloka and ZipJet and the favorable valuation changes in Q1. Could you give us an idea as to the size of both of these companies in terms of the implied valuation after their last funding rounds?"
Oliver Samwer,1,"So with regard to the first question, I think we are currently not planning for any amount. I think with regards to Daraz and region holdings, I think Daraz was one of the key holdings in Asia Internet holding. In the LatAm Internet holding, there are no key assets anymore. So I think in the Middle East Internet holding, there are some assets, but overall, I don't think they play a very important role in the business and the valuation of our company. I think the direct assets are much more relevant.
And I think with regards to some of the companies you mentioned, Traveloka, ZipJet, et cetera, I think we can only refer to what the publicly available data. I think at the point of time when Traveloka did an announcement, I think there was announcement about how much cap the company raised. I think it's still rate information about how much our company holds about that, obviously, we also got diluted in different transactions. So I think we can, at this point of time, before those company reach a critical scale for us, I'll not make any specific announcement on all of those individual companies. We keep that as practice in the past once company reach a critical stage scale and stage, that we then make announcements."
Nizla Naizer,1,"Great. And I guess, just a follow-up on the cash position that Rocket has as well. Could you remind us again what sort of sectors are most interesting for you going forward as to where to deploy that significant cash that you have?"
Oliver Samwer,1,"So we look a lot of the fintech space. I think we did a number of investments there. We are invested in some very interesting companies. We continue to look at market places and a number of vertical market places. We look at direct-to-consumer brands. We have made a couple of artificial intelligent investments. I think all of those areas that we watch very clearly, we have a number of professionals looking at opportunities in them. I think the time will come to deploy our capital over time without having the pressure and, at the same time, maybe the patience to look for the right opportunities."
Operator,1,"At the moment, there are no further questions. [Operation Instructions] As there are no further questions, I would hand back to you."
Peter Kimpel,1,"Okay. Then now we conclude with this, and we'll speak whoever is coming for the AGM. We'll see each other then next week. Other than that, we'll then continue to talk. And if there's any other questions which come to mind over the course of today or tomorrow, again, please feel free to reach out to us, so we answer them. Have a good day. Thank you very much."
Operator,1,"Ladies and gentlemen, thank you for your attendance. This call has been concluded. You may disconnect."
Oliver Samwer,1,Thank you.
